Team,Line
Atlanta Hawks,36.5
Boston Celtics,58.5
Brooklyn Nets,19.5
Charlotte Hornets,31.5
Chicago Bulls,28.5
Cleveland Cavaliers,48.5
Dallas Mavericks,49.5
Denver Nuggets,50.5
Detroit Pistons,25.5
Golden State Warriors,43.5
Houston Rockets,42.5
Indiana Pacers,46.5
Los Angeles Clippers,35.5
Los Angeles Lakers,42.5
Memphis Grizzlies,46.5
Miami Heat,43.5
Milwaukee Bucks,49.5
Minnesota Timberwolves,51.5
New Orleans Pelicans,45.5
New York Knicks,53.5
Oklahoma City Thunder,57.5
Orlando Magic,47.5
Philadelphia 76ers,49.5
Phoenix Suns,48.5
Portland Trail Blazers,20.5
Sacramento Kings,46.5
San Antonio Spurs,35.5
Toronto Raptors,28.5
Utah Jazz,27.5
Washington Wizards,19.5